"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"14","0","6.0","7.0","0.0","87.0","6.0","94.0","87.0","13.0","0.2857142857142857","0.7307692307692308","0.46153846153846156","0.6793662204867574","0.32142857142857145","0.75","0.28125","8","References","Mutant11"
"14","1","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.32142857142857145","0.9","0.3","8","Attributes","Mutant11"
"14","0","13.0","0.0","16.0","71.0","29.0","71.0","87.0","13.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.42857142857142855","1.0","0.42857142857142855","8","Class","Mutant11"
"14","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.14285714285714285","0.3333333333333333","0.1111111111111111","8","Package","Mutant11"
"14","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2857142857142857","1.0","0.2857142857142857","8","NamedElement","Mutant11"
"14","0","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.2857142857142857","1.0","0.2857142857142857","8","Property","Mutant11"
"14","0","4.0","9.0","0.0","87.0","4.0","96.0","87.0","13.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.25","0.7","0.21875","8","StrongReferences","Mutant11"
"15","0","2.0","2.0","8.0","88.0","10.0","90.0","96.0","4.0","0.07692307692307693","0.35","2.5011","0.31622776601683794","0.38461538461538464","1.0","0.35714285714285715","10","WeakReferences","Mutant12"
"15","1","4.0","0.0","9.0","87.0","13.0","87.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.38461538461538464","0.8333333333333334","0.3333333333333333","10","References","Mutant12"
"15","1","4.0","0.0","2.0","94.0","6.0","94.0","96.0","4.0","1.0","0.8333333333333333","0.6666666666666666","0.8164965809277261","0.34615384615384615","0.6428571428571429","0.28125","10","Attributes","Mutant12"
"15","0","4.0","0.0","25.0","71.0","29.0","71.0","96.0","4.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.3076923076923077","0.6666666666666666","0.26666666666666666","10","Class","Mutant12"
"15","0","4.0","0.0","96.0","0.0","100.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.15384615384615385","0.3333333333333333","0.11764705882352941","10","Package","Mutant12"
"15","0","4.0","0.0","96.0","0.0","100.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.3076923076923077","1.0","0.3076923076923077","10","NamedElement","Mutant12"
"15","0","4.0","0.0","9.0","87.0","13.0","87.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.3076923076923077","1.0","0.3076923076923077","10","Property","Mutant12"
"15","0","3.0","1.0","5.0","91.0","8.0","92.0","96.0","4.0","0.21428571428571427","0.5625","1.8012","0.5303300858899106","0.38461538461538464","1.0","0.38461538461538464","10","StrongReferences","Mutant12"
"16","0","10.0","3.0","0.0","87.0","10.0","90.0","87.0","13.0","0.6666666666666666","0.8846153846153846","0.7692307692307693","0.8770580193070293","0.25","0.7","0.21875","11","WeakReferences","Mutant12"
"16","1","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.32142857142857145","0.75","0.28125","11","References","Mutant12"
